"idetudiant";"nom";"prenom";"civilite";"date_naissance";"lieu_naissance";"dept_naissance";"nationalite";"email";"emailperso";"domicile";"codepostaldomicile";"villedomicile";"paysdomicile";"telephone";"telephonemobile";"typeadresse";"boursier";"idadmission";"anneeadmission";"bac";specialite;"annee_bac";"math";"physique";"anglais";"francais";codelycee;"nomlycee";"villelycee";"codepostallycee"
505;Brault;Diego;M;2000-07-05;Montpellier;Hérault;France;diego.brault@etu.umontpellier.fr;diego.brault@gmail.com;"120 Rue des Écoles";"34520";Le Caylar;France;"06.73.81.35.51";"06.33.00.70.04";domicile;false;439;2019;S;;;;;;;;;Montpellier;
376;Morand;Evan;M;2000-04-11;Montpellier;Hérault;France;evan.morand@etu.umontpellier.fr;evan.morand@gmail.com;"22 Grande Rue Grand'Rue";"34830";Clapiers;France;"06.87.58.14.39";"06.13.12.08.50";domicile;false;295;2018;S;;;;;;;;;;
108;Bazin;Davy;M;1998-11-03;Montpellier;Hérault;France;davy.bazin@etu.umontpellier.fr;famille.bazin@gmail.com;"125 rue des ninjas SQL";"48230";Chanac;France;"06.87.45.89.62";;parents;true;31;2016;S;SVT/ISN;2016;15.5;13.68;;;"0340040J";Lycée Jules Guesde;Montpellier;"34"
147;Merlin;Mattéo;M;1997-01-15;Montpellier;Hérault;France;mattéo.merlin@etu.umontpellier.fr;mattéo.merlin@gmail.com;"13 Rue Jean Fallet";"34830";Clapiers;France;"06.83.15.98.45";"06.09.52.43.45";domicile;true;55;2016;S;;2015;13.1667;12.97;16.83;7.0;"0342321N";Université de Montpellier;Montpellier;"34"
148;Lefort;Gabin;M;1998-08-25;Montpellier;Hérault;France;gabin.lefort@etu.umontpellier.fr;gabin.lefort@gmail.com;"66 Rue des Caves";"34290";Valros;France;"06.72.74.38.30";"06.79.66.79.23";domicile;true;56;2016;STI2D;SIN;2016;;;;;"0300002P";Lycée Jean-Baptiste Dumas;Alès;"30"
149;Auger;Nathan;M;1998-07-28;Montpellier;Hérault;France;nathan.auger@etu.umontpellier.fr;nathan.auger@gmail.com;"10 Rue Alphonse Daudet";"34500";Béziers;France;"06.54.11.03.35";"06.96.70.92.79";domicile;false;58;2016;S;SI;2016;13.84;12.73;;;"0340002T";Lycée Auguste Loubatières;Agde;"34"
194;Parmentier;Kevin;M;1998-11-12;Montpellier;Hérault;France;kevin.parmentier@etu.umontpellier.fr;kevin.parmentier@gmail.com;"28 Rue du Pech des Moulins";"34500";Béziers;France;"06.69.93.63.43";"06.15.17.73.54";domicile;true;17;2016;STI2D;SIN;2016;;;;;"0240005A";Lycée Maine De Biran;Bergerac;"24"
146;Bouvet;Dimitri;M;1996-04-20;Montpellier;Hérault;France;dimitri.bouvet@etu.umontpellier.fr;dimitri.bouvet@gmail.com;"399 Rue de Saint-Hilaire";"34070";Montpellier;France;"06.18.19.62.31";"06.97.10.76.74";domicile;false;5;2016;STI2D;SIN;2015;;11.2;;;"0342090M";Lycée Victor Hugo;Lunel;"34"
11;Vincent;Salomé;F;1998-11-23;Montpellier;Hérault;France;salomé.vincent@etu.umontpellier.fr;salomé.vincent@gmail.com;"21 Avenue Jean Moulin";"34290";Abeilhan;France;"06.03.12.03.10";"06.83.80.82.20";domicile;false;18;2016;S;SVT/MATHS;2016;14.79;14.05;;;"0340038G";Lycée Joffre;Montpellier;"34"
103;Hardy;Dylan;M;1994-01-07;Montpellier;Hérault;France;dylan.hardy@etu.umontpellier.fr;dylan.hardy@gmail.com;"721 Chemin des Boeufs";"34400";Lunel;France;"06.63.90.27.48";"06.73.53.31.88";domicile;false;19;2016;STI2D;SIN;2015;;14.0;;;"0342090M";Lycée Victor Hugo;Lunel;"34"
