"idutilisateur";"nom";"prenom";"email";"typeenseignant";"numbureau";"telephonebureau";"role"
1;;;admin@umontpellier.fr;;;;SuperAdmin
36;Navarro;Dorian;dorian.navarro@umontpellier.fr;MCF;A153;"2517";Admin
36;Navarro;Dorian;dorian.navarro@umontpellier.fr;MCF;A153;"2517";RespPe
36;Navarro;Dorian;dorian.navarro@umontpellier.fr;MCF;A153;"2517";Secr
42;Gonçalves;Mattéo;mattéo.gonçalves@umontpellier.fr;MCF;K010;"2536";Admin
42;Gonçalves;Mattéo;mattéo.gonçalves@umontpellier.fr;MCF;K010;"2536";RespPe
42;Gonçalves;Mattéo;mattéo.gonçalves@umontpellier.fr;MCF;K010;"2536";Secr
43;Grenier;Émile;émile.grenier@umontpellier.fr;;;;Admin
43;Grenier;Émile;émile.grenier@umontpellier.fr;;;;RespPe
43;Grenier;Émile;émile.grenier@umontpellier.fr;;;;Secr
3;Martinez;Amine;amine.martinez@umontpellier.fr;;;;Secr
3;Martinez;Amine;amine.martinez@umontpellier.fr;;;;Admin
33;Pasquier;Bastien;bastien.pasquier@umontpellier.fr;PRCE;A159;"2535";Admin
22;Gonçalves;Gabin;gabin.gonçalves@umontpellier.fr;;;;RespPe
22;Gonçalves;Gabin;gabin.gonçalves@umontpellier.fr;;;;Secr
22;Gonçalves;Gabin;gabin.gonçalves@umontpellier.fr;;;;Admin
48;Lebreton;Nolan;nolan.lebreton@umontpellier.fr;;;;RespPe
48;Lebreton;Nolan;nolan.lebreton@umontpellier.fr;;;;Secr
48;Lebreton;Nolan;nolan.lebreton@umontpellier.fr;;;;Admin
16;Lemonnier;Pierre;pierre.lemonnier@umontpellier.fr;MCF;A170;"2527";RespPe
16;Lemonnier;Pierre;pierre.lemonnier@umontpellier.fr;MCF;A170;"2527";Secr
16;Lemonnier;Pierre;pierre.lemonnier@umontpellier.fr;MCF;A170;"2527";Admin
39;Toussaint;Simon;simon.toussaint@umontpellier.fr;MCF;A161;"2522";RespPe
39;Toussaint;Simon;simon.toussaint@umontpellier.fr;MCF;A161;"2522";Secr
39;Toussaint;Simon;simon.toussaint@umontpellier.fr;MCF;A161;"2522";Admin
37;Paris;Aaron;aaron.paris@umontpellier.fr;;;;RespPe
37;Paris;Aaron;aaron.paris@umontpellier.fr;;;;Secr
37;Paris;Aaron;aaron.paris@umontpellier.fr;;;;Admin
52;Renard;Nicolas;nicolas.renard@umontpellier.fr;PR;A160;"2529";Admin
20;Girault;Marwane;marwane.girault@umontpellier.fr;;;;Admin
12;Blin;Marwane;marwane.blin@umontpellier.fr;;;;Admin
59;Bernard;Adrien;adrien.bernard@umontpellier.fr;;;;Secr
59;Bernard;Adrien;adrien.bernard@umontpellier.fr;;;;RespPe
32;Jourdan;Robin;robin.jourdan@umontpellier.fr;;;;Secr
25;Bayle;Mohamed;mohamed.bayle@umontpellier.fr;MCF;A153;"2517";
26;Garnier;Mehdi;mehdi.garnier@umontpellier.fr;MCF;A168;"2525";
27;Gautier;Yohan;yohan.gautier@umontpellier.fr;PRCE;A158;"2521";
11;Michaud;Anthony;anthony.michaud@umontpellier.fr;MCF;A166;"2524";
17;Gaudin;Benjamin;benjamin.gaudin@umontpellier.fr;MCF;A150;"2515";
31;Breton;Simon;simon.breton@umontpellier.fr;MCF;A165;"2531";
34;Vallee;Mattéo;mattéo.vallee@umontpellier.fr;MCF;A169;"2532";
10;Benard;Clément;clément.benard@umontpellier.fr;PRCE;A152;"2537";
18;Maillet;Tom;tom.maillet@umontpellier.fr;PRAG;A157;"2528";
2;Baudry;Léon;léon.baudry@umontpellier.fr;MCF;A150;"2515";
47;Leveque;Kylian;kylian.leveque@umontpellier.fr;MCF;A169;"2532";
46;Riou;Ethan;ethan.riou@umontpellier.fr;PRAG;A160;"2529";
15;Morel;Mathieu;mathieu.morel@umontpellier.fr;MCF;A159;"2535";
56;Le goff;Maxence;maxence.le goff@umontpellier.fr;PRCE;A156;"2520";
40;Marques;Clément;clément.marques@umontpellier.fr;PR;A171;"2526";
21;Blanchet;Nathan;nathan.blanchet@umontpellier.fr;PRCE;A171;"2526";
5;Marques;Jordan;jordan.marques@umontpellier.fr;PRCE;A151;"2516";
19;Bodin;Louis;louis.bodin@umontpellier.fr;PRAG;A157;"2528";
24;Combes;Killian;killian.combes@umontpellier.fr;MCF;A163;"2523";
55;Blanc;Martin;martin.blanc@umontpellier.fr;PRCE;A164;"2530";
38;Delattre;Dimitri;dimitri.delattre@umontpellier.fr;PRCE;A155;"2519";
8;Boyer;Jérémy;jérémy.boyer@umontpellier.fr;MCF;A162;"2534";
30;Guilbert;Simon;simon.guilbert@umontpellier.fr;PR;A151;"2516";
50;Cochet;Constant;constant.cochet@umontpellier.fr;PRAG;A166;"2524";
51;Leonard;Dimitri;dimitri.leonard@umontpellier.fr;PRCE;A166;"2524";
6;Baron;Antoine;antoine.baron@umontpellier.fr;MCF;A167;"2533";
29;Vallet;Grégory;grégory.vallet@umontpellier.fr;MCF;A162;"2534";
41;Faure;Nicolas;nicolas.faure@umontpellier.fr;PRAG;A154;"2518";
54;Pons;Constant;constant.pons@umontpellier.fr;MCF;A154;"2518";
4;Lopes;Maxence;maxence.lopes@umontpellier.fr;PRAG;A158;"2521";
53;Brun;Julien;julien.brun@umontpellier.fr;MCF;A163;"2523";
44;Martineau;Julien;julien.martineau@umontpellier.fr;MCF;A161;"2522";
49;Boyer;Constant;constant.boyer@umontpellier.fr;MCF;A155;"2519";
45;Pages;Antoine;antoine.pages@umontpellier.fr;MCF;A164;"2530";
14;Thibault;Léo;léo.thibault@umontpellier.fr;PR;A154;"2518";
35;Prat;Léonard;léonard.prat@umontpellier.fr;MCF;A170;"2527";
9;Da silva;Fabrice;fabrice.da silva@umontpellier.fr;MCF;A168;"2525";
7;Pascal;Nolan;nolan.pascal@umontpellier.fr;PR;A156;"2520";
